📡电影频道,#genre#
电影轮播1,http://mmitv.top/pltv/yy.php?id=1382749892
电影轮播2,http://mmitv.top/pltv/yy.php?id=1382735573
电影轮播3,http://mmitv.top/pltv/yy.php?id=24921161
电影轮播4,http://mmitv.top/pltv/yy.php?id=1382736803
电影轮播5,http://mmitv.top/pltv/yy.php?id=1382745095
电影轮播6,http://mmitv.top/pltv/yy.php?id=1355171357
电影轮播7,http://mmitv.top/pltv/yy.php?id=24066336
电影_星爷,https://live.metshop.top/huya/11342412
电影_英叔,https://live.metshop.top/huya/11342421
电影_发哥,https://live.metshop.top/huya/11342387
电影_成龙,https://live.metshop.top/huya/11342386
电影_王晶,https://live.metshop.top/huya/11602058
电影_沈腾,https://live.metshop.top/huya/11601968
电影_黄渤,https://live.metshop.top/huya/11352876
电影_强森,https://live.metshop.top/huya/21059581
电影_漫威,https://live.metshop.top/huya/11602034
电影_宇宙,https://live.metshop.top/huya/11342428
电影_怪兽,https://live.metshop.top/huya/21059577
电影_武侠,https://live.metshop.top/huya/11342427
电影_警匪,https://live.metshop.top/huya/11352886
电影_罪犯,https://live.metshop.top/huya/11352962
电影_枪战,https://live.metshop.top/huya/21059579
电影_海盗,https://live.metshop.top/huya/21059595
电影_赛车,https://live.metshop.top/huya/11279247
电影_推荐,https://live.metshop.top/huya/11602041
电影_救援,https://live.metshop.top/huya/21059594
电影_热血,https://live.metshop.top/huya/11352934
电影_盗墓,https://live.metshop.top/huya/21059552
电影_贺岁,https://live.metshop.top/huya/11601971
电影_玄幻,https://live.metshop.top/huya/11342414
电影_谍战,https://live.metshop.top/huya/21059585
电影_战争,https://live.metshop.top/huya/21059592
电影_喜剧,https://live.metshop.top/huya/11352877
电影_港片,https://live.metshop.top/huya/11602043
电影_国产,https://live.metshop.top/huya/11352973
电影_周星星,https://live.metshop.top/huya/11336587
电影_李连杰,https://live.metshop.top/huya/11342390
电影_洪金宝,https://live.metshop.top/huya/11279251
电影_梁家辉,https://live.metshop.top/huya/11342429
电影_刘德华,https://live.metshop.top/huya/11342424
电影_斯坦森,https://live.metshop.top/huya/21059588
电影_小鬼头,https://live.metshop.top/huya/11352963
电影_八点档,https://live.metshop.top/huya/880261
电影_蜘蛛侠,https://live.metshop.top/huya/21059599
电影_贺岁片,https://live.metshop.top/huya/11601986
电影_功夫片,https://live.metshop.top/huya/11352941
电影_黑帮片,https://live.metshop.top/huya/11336719
电影_丧尸片,https://live.metshop.top/huya/21059578
电影_灾难片,https://live.metshop.top/huya/11602075
电影_谍战片,https://live.metshop.top/huya/21059587
电影_战争片,https://live.metshop.top/huya/21059574
电影_犯罪片,https://live.metshop.top/huya/11352974
电影_古装片,https://live.metshop.top/huya/11336590
电影_高分动作,https://live.metshop.top/huya/11352884
电影_动作电影,https://live.metshop.top/huya/11602077
电影_搞笑喜剧,https://live.metshop.top/huya/11342423
电影_喜剧专场,https://live.metshop.top/huya/11602044
电影_欢笑影院,https://live.metshop.top/huya/11352894
电影_不挤影院,https://live.metshop.top/huya/11352897
电影_国产悬疑,https://live.metshop.top/huya/11342395
电影_快意江湖,https://live.metshop.top/huya/11342435
电影_黑帮斗争,https://live.metshop.top/huya/11342419
电影_嫣然影厅,https://live.metshop.top/huya/11601977
电影_许氏三杰,https://live.metshop.top/huya/11602033
电影_经典港片,https://live.metshop.top/huya/11352965
电影_镖行天下,https://live.metshop.top/huya/11352969
电影_高能反转,https://live.metshop.top/huya/11352887
电影_喜乐影院,https://live.metshop.top/huya/21059580
电影_蘑菇影厅,https://live.metshop.top/huya/11601981
电影_搞笑恐怖,https://live.metshop.top/huya/11601960
电影_死神来了,https://live.metshop.top/huya/11352903
电影_变形金刚,https://live.metshop.top/huya/21059596
电影_怪兽系列,https://live.metshop.top/huya/21059554
剧集_老三国,https://live.metshop.top/huya/11602081
剧集_新三国,https://live.metshop.top/huya/11352944
剧集_新水浒,https://live.metshop.top/huya/11342384
剧集_纪晓岚,https://live.metshop.top/huya/11342396
剧集_庆余年,https://live.metshop.top/huya/11352960
剧集_雍正王朝,https://live.metshop.top/huya/11342439
剧集_士兵突击,https://live.metshop.top/huya/11342430
剧集_爱情公寓,https://live.metshop.top/huya/11336726
剧集_武林外传,https://live.metshop.top/huya/21059598
剧集_地下交通站,https://live.metshop.top/huya/11342433
剧集_邻里一家亲,https://live.metshop.top/huya/11342426
搞笑_陈翔六点半,https://live.metshop.top/huya/11274154
解说_鹿哥电影,https://live.metshop.top/huya/24396360
解说_斌哥漫说,https://live.metshop.top/huya/18632116
解说_续哥说电影,https://live.metshop.top/huya/24396472
解说_小川侃电影,https://live.metshop.top/huya/15870999
解说_阿良说剧,https://live.metshop.top/huya/20488841
解说_鱼丸电影,https://live.metshop.top/huya/16615910
解说_阿斗说电影,https://live.metshop.top/huya/13303478
大吉大利代,https://pull.kktv8.com/livekktv/128600025.flv
星爷影院代,http://159.75.85.63:35455/douyu/508118
福星高照㊣代,https://pull.kktv8.com/livekktv/99592190.flv
鸿运当头㊣代,https://pull.kktv8.com/livekktv/99350550.flv
瑶瑶恐怖㊣版,http://159.75.85.63:35455/douyu/2935323
怡寶影院㊣版,http://159.75.85.63:35455/douyu/434971
小黛兮影㊣版,http://159.75.85.63:35455/douyu/11553944
神乐影院-1台,https://tc-tc2-interact.douyucdn2.cn/dyliveflv1/85894rmovieChow_900p.m3u8
神乐影院-2台,https://tc-tc2-interact.douyucdn2.cn/dyliveflv1a/122402rK7MO9bXSq_900.m3u8
📡斗鱼频道,#genre#
吃米,http://epg.112114.xyz/douyu/315457
柯南,http://epg.112114.xyz/douyu/1487654
柯南2,http://epg.112114.xyz/douyu/11954507
柯南剧场版,http://epg.112114.xyz/douyu/6484910
恐怖,http://epg.112114.xyz/douyu/96577
星爷,http://epg.112114.xyz/douyu/122402
科幻,http://epg.112114.xyz/douyu/323876
科幻2,http://epg.112114.xyz/douyu/747764
动作,http://epg.112114.xyz/douyu/6621
动作2,http://epg.112114.xyz/douyu/74374
剧情,http://epg.112114.xyz/douyu/3439096
贝爷影厅,http://epg.112114.xyz/douyu/252802
狄仁杰,http://epg.112114.xyz/douyu/11578014
狄仁杰2,http://epg.112114.xyz/douyu/11685263
测试,http://epg.112114.xyz/douyu/7925840
英叔,http://epg.112114.xyz/douyu/310926
邵氏影院,http://epg.112114.xyz/douyu/4246519
古装剧,http://epg.112114.xyz/douyu/338759
科幻3,http://epg.112114.xyz/douyu/4505431
鬼片,http://epg.112114.xyz/douyu/6906628
古装,http://epg.112114.xyz/douyu/5668371
动作3,http://epg.112114.xyz/douyu/5423
西游记,http://epg.112114.xyz/douyu/3113309
爱情公寓,http://epg.112114.xyz/douyu/6863367
片源多多,http://epg.112114.xyz/douyu/7476264
白蛇传,http://epg.112114.xyz/douyu/1076101
邦德,http://epg.112114.xyz/douyu/9292499
经典动作,http://epg.112114.xyz/douyu/11849283
